al	al
haueietatik	haueietat
haueiko	hauei
haueitzat	hauei
hauek	hau
hauekak	hau
hauekan	haue
hauekaren	hauekaren
hauekari	haue
haueketatik	haueketat
hauekko	hau
hauektzat	hau
hauetan	hau
hauetanak	hau
hauetanan	hau
hauetanaren	hau
hauetanari	hau
hauetanetatik	hauetanetat
hauetanko	hau
hauetantzat	hau
hauetatik	hauetat
hauko	hau
hautzat	hau
hemen	hem
hemenak	hem
hemenan	hem
hemenaren	hem
hemenari	hem
hemendik	hemend
hemendikak	hemend
hemendikan	hemendi
hemendikaren	hemendi
hemendikari	hemendi
hemendiketatik	hemendiketat
hemendikko	hemend
hemendiktzat	hemend
hemenetatik	hemenetat
hemengo	hem
hemengoak	heme
hemengoan	hem
hemengoaren	heme
hemengoari	hem
hemengoetatik	hemengoetat
hemengoko	heme
hemengotzat	hem
hemenko	hem
hementzat	hem
hi	hi
hiak	hiak
hian	hian
hiaren	hiaren
hiari	hiari
hietatik	hietat
hiko	hiko
hitzat	hitzat
hona	hona
honaak	hona
honaan	hona
honaaren	honaaren
honaari	hona
honaetatik	honaetat
honako	hona
honatzat	hona
honek	hon
honekak	hon
honekan	hone
honekaren	hone
honekari	hone
honeketatik	honeketat
honekko	hon
honektzat	hon
honela	hone
honelaak	hone
honelaan	hone
honelaaren	honelaa
honelaari	hone
honelaetatik	honelaetat
honelako	hone
honelatzat	hone
honetan	hon
honetanak	hon
honetanan	hon
honetanaren	hon
honetanari	hon
honetanetatik	honetanetat
honetanko	hon
honetantzat	hon
honi	honi
honiak	honi
honian	honi
honiaren	honiaren
honiari	honi
honietatik	honietat
honiko	honi
honitzat	honi
hor	hor
horak	hor
horan	hor
horaren	horaren
horari	hor
horetatik	horetat
hori	hori
horiak	hori
horian	hori
horiaren	horiaren
horiari	hori
horiei	horiei
horieiak	horiei
horieian	horiei
horieiaren	horieiaren
horieiari	horiei
horieietatik	horieietat
horieiko	horiei
horieitzat	horiei
horiek	hori
horiekak	hori
horiekan	horie
horiekaren	horie
horiekari	horie
horieketatik	horieketat
horiekko	hori
horiektzat	hori
horietan	hori
horietanak	hori
horietanan	hori
horietanaren	hori
horietanari	hori
horietanetatik	horietanetat
horietanko	hori
horietantzat	hori
horietatik	horietat
horiko	hori
horitzat	hori
horko	hor
horkoak	hor
horkoan	hor
horkoaren	horkoaren
horkoari	hor
horkoetatik	horkoetat
horkoko	hor
horkotzat	hor
horra	hor
horraak	hor
horraan	hor
horraaren	horraaren
horraari	hor
horraetatik	horraetat
horrako	hor
horratzat	hor
horrek	horr
horrekak	horr
horrekan	horre
horrekaren	horre
horrekari	horre
horreketatik	horreketat
horrekko	horr
horrektzat	horr
horrela	horre
horrelaak	horre
horrelaan	horre
horrelaaren	horrelaa
horrelaari	horre
horrelaetatik	horrelaetat
horrelako	horre
horrelatzat	horre
horretan	horr
horretanak	horr
horretanan	horr
horretanaren	horr
horretanari	horr
horretanetatik	horretanetat
horretanko	horr
horretantzat	horr
horri	horri
horriak	horri
horrian	horri
horriaren	horriaren
horriari	horri
horrietatik	horrietat
horriko	horri
horritzat	horri
hortik	hort
hortikak	hort
hortikan	hor
hortikaren	hor
hortikari	hor
hortiketatik	hortiketat
hortikko	hort
hortiktzat	hort
hortzat	hor
hura	hura
huraak	hura
huraan	hura
huraaren	huraaren
huraari	hura
huraetatik	huraetat
hurako	hura
huratzat	hura
ikusi	ikusi
ikusten	ikus
izan	izan
izanak	izan
izanan	izan
izanaren	iza
izanari	izan
izanetatik	izanetat
izanko	izan
izantzat	izan
joan	joan
joaten	joaten
jokatu	jok
jokatzen	jok
lana	lana
lanean	lan
liburua	liburua
liburuak	liburu
mendiari	mendi
minutu	minu
neska	nes
neskak	nesk
ni	ni
niak	niak
nian	nian
niaren	niaren
niari	niari
nietatik	nietat
niko	niko
nitzat	nitzat
noiz	noi
noizak	noi
noizan	noi
noizaren	noizaren
noizari	noi
noizetatik	noizetat
noizko	noi
noiztzat	noi
nola	nola
nolaak	nola
nolaan	nola
nolaaren	nolaaren
nolaari	nola
nolaetatik	nolaetat
nolako	nola
nolatzat	nola
non	non
nonak	non
nonan	non
nonaren	nonaren
nonari	non
nondik	nond
nondikak	nond
nondikan	non
nondikaren	non
nondikari	non
nondiketatik	nondiketat
nondikko	nond
nondiktzat	nond
nonetatik	nonetat
nongo	non
nongoak	non
nongoan	non
nongoaren	nongoaren
nongoari	non
nongoetatik	nongoetat
nongoko	non
nongotzat	non
nonko	non
nontzat	non
nor	nor
nora	nora
noraak	nora
noraan	nora
noraaren	noraaren
noraari	nora
noraetatik	noraetat
norak	nor
norako	nora
noran	nor
noraren	noraren
norari	nor
noratzat	nora
noretatik	noretat
norko	nor
nortzat	nor
on	on
ona	ona
onak	onak
polit	polit
polita	poli
tratu	tra
txiki	txi
txikia	txi
zaldi	zaldi
zaldiak	zaldi
ze	ze
zeak	zeak
zean	zean
zearen	zearen
zeari	zeari
zeetatik	zeetat
zein	zein
zeinak	zein
zeinan	zein
zeinaren	zeinaren
zeinari	zein
zeinetatik	zeinetat
zeinko	zein
zeintzat	zein
zeko	zeko
zen	zen
zenak	zen
zenan	zen
zenaren	zenaren
zenari	zen
zenbait	zenbait
zenbaitak	zenbait
zenbaitan	zenbait
zenbaitaren	zenbai
zenbaitari	zenbai
zenbaitetatik	zenbaitetat
zenbaitko	zenbait
zenbaittzat	zenbait
zenbat	zenbat
zenbatak	zenbat
zenbatan	zenbat
zenbataren	zenba
zenbatari	zenba
zenbatetatik	zenbatetat
zenbatko	zenbat
zenbattzat	zenbat
zenetatik	zenetat
zenko	zen
zentzat	zen
zer	zer
zerak	zer
zeran	zer
zeraren	zeraren
zerari	zer
zeretatik	zeretat
zergatik	zergat
zergatikak	zergat
zergatikan	zer
zergatikaren	zer
zergatikari	zer
zergatiketatik	zergatiketat
zergatikko	zergat
zergatiktzat	zergat
zerko	zer
zertzat	zer
zetzat	zetzat
ziren	ziren
zirenak	ziren
zirenan	ziren
zirenaren	zir
zirenari	ziren
zirenetatik	zirenetat
zirenko	ziren
zirentzat	ziren
zituen	zitu
zituenak	zitu
zituenan	zitu
zituenaren	zitu
zituenari	zitu
zituenetatik	zituenetat
zituenko	zitu
zituentzat	zitu
zu	zu
zuak	zuak
zuan	zuan
zuaren	zuaren
zuari	zuari
zuek	zuek
zuekak	zuek
zuekan	zue
zuekaren	zuekaren
zuekari	zue
zueketatik	zueketat
zuekko	zuek
zuektzat	zuek
zuen	zuen
zuenak	zuen
zuenan	zuen
zuenaren	zuenaren
zuenari	zuen
zuenetatik	zuenetat
zuenko	zuen
zuentzat	zuen
zuetatik	zuetat
zuko	zuko
zuten	zuten
zutenak	zuten
zutenan	zuten
zutenaren	zut
zutenari	zuten
zutenetatik	zutenetat
zutenko	zuten
zutentzat	zuten
zutzat	zutzat
